M,num_residues,mean_drift,min_drift,max_drift,negative
4,8,-0.39633421538129043,-2.5649493574615367,0.8873031950009029,True
5,16,-0.41059606693224737,-3.044522437723423,0.8873031950009029,True
6,32,-0.46076174797479497,-3.970291913552122,0.8873031950009029,True
7,64,-0.5305194888213078,-4.727387818712341,0.8873031950009029,True
8,128,-0.5551115799687945,-5.424950017481403,0.8873031950009029,True
9,256,-0.5626348627981339,-6.115892125483034,0.8873031950009029,True
10,512,-0.5666836487015187,-6.812345094177479,0.8873031950009029,True
11,1024,-0.5696209675541113,-7.502738210754851,0.8873031950009029,True
12,2048,-0.5718759702076286,-8.19891444498699,0.8873031950009029,True
13,4096,-0.5737581944367915,-8.893023494394711,0.8873031950009029,True
14,8192,-0.5745668461050654,-9.58623934448258,0.8873031950009029,True
15,16384,-0.5749107160677394,-10.279352190868002,0.8873031950009029,True
16,32768,-0.5750941928306376,-10.97255087224768,0.8873031950009029,True
17,65536,-0.575203722228878,-11.665655135642039,0.8873031950009029,True
18,131072,-0.5752725365602789,-12.358849524982826,0.8873031950009029,True
19,262144,-0.5753196177172447,-13.05201172605113,0.8873031950009029,True
20,524288,-0.5753415293082834,-13.745159979495897,0.8873031950009029,True
21,1048576,-0.5753517608303452,-14.438306623613576,0.8873031950009029,True
22,2097152,-0.5753571671054851,-15.131454608836814,0.8873031950009029,True
23,4194304,-0.5753602033143297,-15.824601118844061,0.8873031950009029,True
24,8388608,-0.575361968487513,-16.51774903701195,0.8873031950009029,True
